symbol,subject,n_events,median_abs_adj_r_60m,mean_abs_adj_r_60m,ci_low,ci_high,median_adj_r_60m,share_positive_60m,median_vol_ratio_60m,median_rv_ratio_60m,median_adj_r_to_close,inference_supported
RELIANCE,Capital & Corporate Action,13,0.0057498556125766265,0.006037901678381184,0.003284282251751758,0.008056553972415226,0.003284282251751758,0.6153846153846154,1.397424159464191,1.061303867688503,-0.0018089644198407973,True
RELIANCE,Financial Results,12,0.019330451691124004,0.018278428616898715,0.005379933912973547,0.0277761022944545,-0.003829987711594457,0.3333333333333333,3.2915193330912422,3.016696159546001,-0.008768863167328597,True
RELIANCE,Management & Board Change,12,0.008431925386524652,0.009914663996340776,0.0046361594819386565,0.01441116929949135,-0.006648016030536288,0.3333333333333333,1.41360848867467,1.0925897256296762,-0.010563907711165527,True
RELIANCE,Clarification,8,0.006266972700933543,0.007190489577104359,0.0028303398180802852,0.01192721501284566,-0.0007677807809811921,0.5,1.2546759549640154,1.0159188643658559,0.002729817918095012,False
RVNL,ALL SUBJECTS,326,0.008523143169194433,0.016128643380693235,0.0067140127564414565,0.01129895072340445,0.00029960655273839065,0.5061349693251533,1.2681519043334575,1.175014475955848,-0.00017980908617200309,True
RVNL,Order Win,104,0.010423986887916584,0.017219180283487096,0.005991829332510801,0.013489600912770877,0.004674669798186815,0.6442307692307693,1.4758183317439784,1.2059147965664154,0.0015585830351028257,True
RVNL,Management & Board Change,49,0.010553855636508958,0.013893329428716314,0.004934795815454168,0.01294417487043975,-0.0017426265058262946,0.40816326530612246,1.062656310986989,1.070425165739387,-0.0020869750016668243,True
RVNL,Routine Filing,48,0.007788743729012046,0.01295327022422743,0.0046366170429575915,0.011418910960880602,-0.0019335252821375964,0.375,0.8848013602820459,0.8763518786752594,-0.000577159214709716,True
RVNL,Other / Unclassified,43,0.0067140127564414565,0.012371018258874945,0.004708961891485897,0.008758593356150868,0.0003018851714864379,0.5116279069767442,1.0804071720424666,1.1004357752644005,-0.00010796285095160396,True
RVNL,M&A / Strategic,21,0.014577935217281457,0.02402218098106894,0.004505871652801169,0.03315869939059765,0.003568339430154638,0.6190476190476191,1.8656466430888623,1.3295505406383794,0.007832866242559411,True
RVNL,Investor Communication,18,0.00790396166463847,0.02082515545674584,0.00564733695501432,0.019351964546328204,0.0022423265039733103,0.5555555555555556,1.7156823458321406,1.28580711615167,0.005213835235515038,True
RVNL,Board Meeting Intimation,17,0.010464602871062989,0.01699585116958498,0.0048331098455215715,0.021572603827660103,-0.0030445416627655764,0.4117647058823529,1.1460551170622095,1.0663302218823834,0.0027892909089306805,True
RVNL,Financial Results,12,0.02535975719689823,0.024967920384305245,0.0036521259415832064,0.04279307201877715,-0.014770868170060333,0.08333333333333333,2.076757858527893,2.5701813577184778,-0.037066165249999075,True
RVNL,Capital & Corporate Action,7,0.01566532553727673,0.01337804345291915,0.0039729996532898715,0.01741943642425106,-4.455765691505076e-05,0.42857142857142855,2.050320417882248,1.274823492484749,0.003786391366419617,False
RVNL,Credit Rating,4,0.005346980506131027,0.015086839111350552,0.0021812547320795295,0.04747214070106062,-0.0014642960921960324,0.5,1.1789311558712035,1.0187903025717344,0.0030800422468063304,False
RVNL,Clarification,2,0.003735534278752131,0.003735534278752131,,,0.003735534278752131,1.0,6.7716623126127296,2.278269254855219,-0.01411477288374853,False
RVNL,Board Meeting Outcome,1,0.0033312522298765412,0.0033312522298765412,,,-0.0033312522298765412,0.0,4.349992908764005,3.7154423462746693,0.00246195192582499,False
